sweep_dir,run_name,gamma,seed,baseline_ppl,quantized_ppl,quantized_delta,results_path
qkvo_sweep_abs_gamma_again2,000_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_0,0.0,42,23.500709533691406,41.48704147338867,17.986331939697266,D:/Documents/HTA/College/Projects/LattiBoxiGusinini Quant/qkvo_sweep_abs_gamma_again2/000_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_0/results.json
qkvo_sweep_abs_gamma_again,000_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_0,0.0,4242,23.500709533691406,40.79431915283203,17.293609619140625,D:/Documents/HTA/College/Projects/LattiBoxiGusinini Quant/qkvo_sweep_abs_gamma_again/000_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_0/results.json
qkvo_sweep_abs_gamma,000_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_0,0.0,424242,23.500709533691406,41.20074462890625,17.700035095214844,D:/Documents/HTA/College/Projects/LattiBoxiGusinini Quant/qkvo_sweep_abs_gamma/000_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_0/results.json
qkvo_sweep_abs_gamma_again2,001_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_100,100.0,42,23.500709533691406,43.439056396484375,19.93834686279297,D:/Documents/HTA/College/Projects/LattiBoxiGusinini Quant/qkvo_sweep_abs_gamma_again2/001_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_100/results.json
qkvo_sweep_abs_gamma_again,001_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_100,100.0,4242,23.500709533691406,42.700870513916016,19.20016098022461,D:/Documents/HTA/College/Projects/LattiBoxiGusinini Quant/qkvo_sweep_abs_gamma_again/001_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_100/results.json
qkvo_sweep_abs_gamma,001_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_100,100.0,424242,23.500709533691406,42.51708984375,19.016380310058594,D:/Documents/HTA/College/Projects/LattiBoxiGusinini Quant/qkvo_sweep_abs_gamma/001_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_100/results.json
qkvo_sweep_abs_gamma_again2,002_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_500,500.0,42,23.500709533691406,42.44721984863281,18.946510314941406,D:/Documents/HTA/College/Projects/LattiBoxiGusinini Quant/qkvo_sweep_abs_gamma_again2/002_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_500/results.json
qkvo_sweep_abs_gamma_again,002_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_500,500.0,4242,23.500709533691406,41.5678596496582,18.067150115966797,D:/Documents/HTA/College/Projects/LattiBoxiGusinini Quant/qkvo_sweep_abs_gamma_again/002_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_500/results.json
qkvo_sweep_abs_gamma,002_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_500,500.0,424242,23.500709533691406,41.47343444824219,17.97272491455078,D:/Documents/HTA/College/Projects/LattiBoxiGusinini Quant/qkvo_sweep_abs_gamma/002_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_500/results.json
qkvo_sweep_abs_gamma_again2,003_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_750,750.0,42,23.500709533691406,41.51569747924805,18.01498794555664,D:/Documents/HTA/College/Projects/LattiBoxiGusinini Quant/qkvo_sweep_abs_gamma_again2/003_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_750/results.json
qkvo_sweep_abs_gamma_again,003_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_750,750.0,4242,23.500709533691406,44.84905242919922,21.348342895507812,D:/Documents/HTA/College/Projects/LattiBoxiGusinini Quant/qkvo_sweep_abs_gamma_again/003_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_750/results.json
qkvo_sweep_abs_gamma,003_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_750,750.0,424242,23.500709533691406,41.39795684814453,17.897247314453125,D:/Documents/HTA/College/Projects/LattiBoxiGusinini Quant/qkvo_sweep_abs_gamma/003_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_750/results.json
