last_k,method,layer_name,block_id,proj_type,rel_recon_error_x,rel_recon_error_w,rel_linear_error
9,Ours,block10.k_proj,-1,k_proj,0.04914772019965337,0.03998400416936526,0.10495456190056641
9,Ours,block10.out_proj,-1,out_proj,0.06648278019250368,0.03333386710939205,0.15462742832608062
9,Ours,block10.q_proj,-1,q_proj,0.04917392715152218,0.03737816473307777,0.09381548930069247
9,Ours,block10.v_proj,-1,v_proj,0.04966483020654248,0.033503235615085725,0.11696579715989074
9,Ours,block11.k_proj,-1,k_proj,0.05073350761167575,0.03721139609655251,0.09893771598703492
9,Ours,block11.out_proj,-1,out_proj,0.05693389515899576,0.08075965029163248,0.22643633021369108
9,Ours,block11.q_proj,-1,q_proj,0.050693850210895286,0.036670340198684745,0.09953284361770948
9,Ours,block11.v_proj,-1,v_proj,0.050924648170611896,0.034539794216328336,0.12268027955576656
9,Ours,block3.k_proj,-1,k_proj,0.03519634180641239,0.06173827064350883,0.10685031368637045
9,Ours,block3.out_proj,-1,out_proj,0.053413610649042896,0.035659683003563016,0.13001722880142852
9,Ours,block3.q_proj,-1,q_proj,0.035490208175494024,0.05176449893285376,0.10115655761392793
9,Ours,block3.v_proj,-1,v_proj,0.035865388852001405,0.0340553603347107,0.13091514641144186
9,Ours,block4.k_proj,-1,k_proj,0.038352568359429344,0.04341979612185925,0.13540466106154941
9,Ours,block4.out_proj,-1,out_proj,0.061606221552336915,0.034324619337549794,0.12116818684624925
9,Ours,block4.q_proj,-1,q_proj,0.038267330652625955,0.04121512699361579,0.11470423155130503
9,Ours,block4.v_proj,-1,v_proj,0.03845899593581142,0.03375340496012005,0.12937202667303713
9,Ours,block5.k_proj,-1,k_proj,0.04042754167271979,0.050725782919612036,0.15729805977192562
9,Ours,block5.out_proj,-1,out_proj,0.06186231031650763,0.033179489653556465,0.14404823859975854
9,Ours,block5.q_proj,-1,q_proj,0.04052255519670884,0.04353153780397884,0.12371502752839328
9,Ours,block5.v_proj,-1,v_proj,0.04086569770769531,0.03293472293937108,0.11991914360876547
9,Ours,block6.k_proj,-1,k_proj,0.041420548413799226,0.044842166079962956,0.14380031394756182
9,Ours,block6.out_proj,-1,out_proj,0.05505224960138692,0.033387501135873014,0.12145515138898287
9,Ours,block6.q_proj,-1,q_proj,0.04143350048443057,0.04214486182412337,0.14523722919922083
9,Ours,block6.v_proj,-1,v_proj,0.041643606632431565,0.03657604438601338,0.12635922311571318
9,Ours,block7.k_proj,-1,k_proj,0.041621881291221755,0.04929311591722155,0.15290504704682478
9,Ours,block7.out_proj,-1,out_proj,0.060678823393451466,0.033566158387642445,0.1529966491207161
9,Ours,block7.q_proj,-1,q_proj,0.04155175126975716,0.048584455574163014,0.11647178100476241
9,Ours,block7.v_proj,-1,v_proj,0.04180750303614314,0.034061297487848134,0.12045899928761819
9,Ours,block8.k_proj,-1,k_proj,0.04517174640818647,0.04307645905959438,0.1200278187791486
9,Ours,block8.out_proj,-1,out_proj,0.06619682824810466,0.03496160359121286,0.139781270784744
9,Ours,block8.q_proj,-1,q_proj,0.044952356829646635,0.051325404130383584,0.11193423178918252
9,Ours,block8.v_proj,-1,v_proj,0.04547381362640704,0.031226137257749458,0.11865057660856805
9,Ours,block9.k_proj,-1,k_proj,0.046411575449272297,0.04172830368322004,0.11213549956531386
9,Ours,block9.out_proj,-1,out_proj,0.06686992227990377,0.03141859601772382,0.148547995696627
9,Ours,block9.q_proj,-1,q_proj,0.04605470724988731,0.03997419223055069,0.10583653964810767
9,Ours,block9.v_proj,-1,v_proj,0.046543113551963486,0.03334843872625009,0.11350122181018238
9,SQ,block10.k_proj,-1,k_proj,0.8058087776561967,0.2246914870283179,0.38407211234485944
9,SQ,block10.out_proj,-1,out_proj,0.29943780063806125,0.28051186835322084,0.6938099204839964
9,SQ,block10.q_proj,-1,q_proj,0.8058087776561967,0.2421869819683673,0.44950110959176537
9,SQ,block10.v_proj,-1,v_proj,0.8058087776561967,0.266270637077629,1.0387375135421955
9,SQ,block11.k_proj,-1,k_proj,0.9349665713404348,0.15906105662685394,0.7583575149213981
9,SQ,block11.out_proj,-1,out_proj,0.19241041790461222,0.7441546364892785,0.8297768731758811
9,SQ,block11.q_proj,-1,q_proj,0.9349665713404348,0.13703726190802296,0.8417960596512233
9,SQ,block11.v_proj,-1,v_proj,0.9349665713404348,0.4405761492800679,1.0346621764848403
9,SQ,block3.k_proj,-1,k_proj,0.2731392628981366,0.0847967081074489,0.2121748019039476
9,SQ,block3.out_proj,-1,out_proj,0.3338059579365222,0.8173835793520986,1.1199244030855693
9,SQ,block3.q_proj,-1,q_proj,0.2731392628981366,0.1335853141379243,0.2107994612973593
9,SQ,block3.v_proj,-1,v_proj,0.2731392628981366,0.2733508524587169,0.8895872553150433
9,SQ,block4.k_proj,-1,k_proj,0.3529840530218012,0.1330735848140936,0.21152909038886508
9,SQ,block4.out_proj,-1,out_proj,0.3519814432930119,0.4653306603967309,0.8705596196314853
9,SQ,block4.q_proj,-1,q_proj,0.3529840530218012,0.10886956811081006,0.2585270341798843
