method,layer_name,corr_with_delta_ppl
SQ,block10.k_proj,
SQ,block10.out_proj,
SQ,block10.q_proj,
SQ,block10.v_proj,
SQ,block11.k_proj,
SQ,block11.out_proj,
SQ,block11.q_proj,
SQ,block11.v_proj,
SQ,block2.k_proj,
SQ,block2.out_proj,
SQ,block2.q_proj,
SQ,block2.v_proj,
SQ,block3.k_proj,
SQ,block3.out_proj,
SQ,block3.q_proj,
SQ,block3.v_proj,
SQ,block4.k_proj,
SQ,block4.out_proj,
SQ,block4.q_proj,
SQ,block4.v_proj,
SQ,block5.k_proj,
SQ,block5.out_proj,
SQ,block5.q_proj,
SQ,block5.v_proj,
SQ,block6.k_proj,
SQ,block6.out_proj,
SQ,block6.q_proj,
SQ,block6.v_proj,
SQ,block7.k_proj,
SQ,block7.out_proj,
SQ,block7.q_proj,
SQ,block7.v_proj,
SQ,block8.k_proj,
SQ,block8.out_proj,
SQ,block8.q_proj,
SQ,block8.v_proj,
SQ,block9.k_proj,
SQ,block9.out_proj,
SQ,block9.q_proj,
SQ,block9.v_proj,
Ours,block10.k_proj,
Ours,block10.out_proj,
Ours,block10.q_proj,
Ours,block10.v_proj,
Ours,block11.k_proj,
Ours,block11.out_proj,
Ours,block11.q_proj,
Ours,block11.v_proj,
Ours,block2.k_proj,
Ours,block2.out_proj,
Ours,block2.q_proj,
Ours,block2.v_proj,
Ours,block3.k_proj,
Ours,block3.out_proj,
Ours,block3.q_proj,
Ours,block3.v_proj,
Ours,block4.k_proj,
Ours,block4.out_proj,
Ours,block4.q_proj,
Ours,block4.v_proj,
Ours,block5.k_proj,
Ours,block5.out_proj,
Ours,block5.q_proj,
Ours,block5.v_proj,
Ours,block6.k_proj,
Ours,block6.out_proj,
Ours,block6.q_proj,
Ours,block6.v_proj,
Ours,block7.k_proj,
Ours,block7.out_proj,
Ours,block7.q_proj,
Ours,block7.v_proj,
Ours,block8.k_proj,
Ours,block8.out_proj,
Ours,block8.q_proj,
Ours,block8.v_proj,
Ours,block9.k_proj,
Ours,block9.out_proj,
Ours,block9.q_proj,
Ours,block9.v_proj,
